INFO 2025-05-24 10:35:32,680 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-24 10:35:32,682 autoreload Waiting for apps ready_event.
DEBUG 2025-05-24 10:35:34,308 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-24 10:35:34,320 autoreload Watching dir C:\Users\DELL\PycharmProjects\pythonProject\newproject\templates with glob **/*.
DEBUG 2025-05-24 10:35:34,321 autoreload Watching dir C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\simple_history\templates with glob **/*.
DEBUG 2025-05-24 10:35:34,321 autoreload Watching dir C:\Users\DELL\PycharmProjects\pythonProject\newproject\staff\templates with glob **/*.
DEBUG 2025-05-24 10:35:34,321 autoreload Watching dir C:\Users\DELL\PycharmProjects\pythonProject\newproject\locale with glob **/*.mo.
DEBUG 2025-05-24 10:35:34,321 autoreload Watching dir C:\Users\DELL\PycharmProjects\pythonProject\newproject\newapp\locale with glob **/*.mo.
DEBUG 2025-05-24 10:35:34,322 autoreload Watching dir C:\Users\DELL\PycharmProjects\pythonProject\newproject\staff\locale with glob **/*.mo.
DEBUG 2025-05-24 10:35:34,322 autoreload Watching dir C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\simple_history\locale with glob **/*.mo.
DEBUG 2025-05-24 10:35:34,687 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\IPython\utils\dir2.py first seen with mtime 1741659348.8692977
DEBUG 2025-05-24 10:35:34,687 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\importlib\abc.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,687 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\prompt_toolkit\filters\app.py first seen with mtime 1741659341.116514
DEBUG 2025-05-24 10:35:34,687 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\wsgiref\headers.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\templatetags\static.py first seen with mtime 1741965428.591817
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\email\_policybase.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\PycharmProjects\pythonProject\newproject\staff\__init__.py first seen with mtime 1744108902.036577
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\colorama\initialise.py first seen with mtime 1741659344.2273026
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1741965425.4994197
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1741965428.65144
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_typing\_shape.py first seen with mtime 1741659043.9687889
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\moviepy\video\fx\SlideIn.py first seen with mtime 1747823746.902735
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\ImageDraw.py first seen with mtime 1747823740.141526
DEBUG 2025-05-24 10:35:34,688 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1741965426.8961217
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1741965428.429512
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\IPython\core\crashhandler.py first seen with mtime 1741659348.791181
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1741965425.4994197
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\xml\etree\__init__.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\tqdm\_monitor.py first seen with mtime 1747823737.3601189
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1741965428.561389
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\asyncio\subprocess.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1741965428.2073047
DEBUG 2025-05-24 10:35:34,689 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\IPython\core\profiledir.py first seen with mtime 1741659348.8068042
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\traitlets\utils\text.py first seen with mtime 1741659336.4085956
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\prompt_toolkit\lexers\pygments.py first seen with mtime 1741659341.1477613
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\jedi\inference\compiled\__init__.py first seen with mtime 1741659346.5099776
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\ipaddress.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_polynomial_impl.py first seen with mtime 1741659043.4321785
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\parso\python\__init__.py first seen with mtime 1741659341.7894778
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\IPython\terminal\embed.py first seen with mtime 1741659348.8380523
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\IPython\core\__init__.py first seen with mtime 1741659348.77556
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_histograms_impl.py first seen with mtime 1741659043.4231813
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1741965428.429512
DEBUG 2025-05-24 10:35:34,690 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\defaults.py first seen with mtime 1741965428.65144
DEBUG 2025-05-24 10:35:34,691 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\__init__.py first seen with mtime 1741659043.4481783
DEBUG 2025-05-24 10:35:34,691 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1741965428.222962
DEBUG 2025-05-24 10:35:34,691 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\importlib\metadata\_itertools.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,692 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\logging\handlers.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,692 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\prompt_toolkit\shortcuts\utils.py first seen with mtime 1741659341.1648848
DEBUG 2025-05-24 10:35:34,693 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\tqdm\version.py first seen with mtime 1747823737.5364811
DEBUG 2025-05-24 10:35:34,693 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\asyncio\protocols.py first seen with mtime 1738667256.0
DEBUG 2025-05-24 10:35:34,693 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python313\Lib\site-packages\moviepy\video\fx\LumContrast.py first seen with mtime 1747823746.8241162
